Username,Language Spoken,Gender,Location,Followers,Average likes,Average Comments,Engagement
onnacodomo,en,unknown,,627,45,0,7.000000000000001
masumisakamoto,en,male,,7902,244,2,3.0
nickiminaj,unknown,unknown,,85947610,698272,7184,1.0
sqwhat,zh-Hant,male,,2124281,15891,139,1.0
kaorudaccha,ja,unknown,,14168,787,11,6.0
stylemgt,en,male,,4428,47,1,1.0
kaela_official,tn,male,,342737,15154,120,4.0
kaela_official,tn,male,,342562,15188,120,4.0
rieshiraishi1220,en,female,,17630,205,0,1.0
jikejunyi,unknown,unknown,,178863,351,3,0.0
allisonyarid,en,male,,2396,320,8,14.000000000000002
sharnelinnn,unknown,unknown,,568,34,2,6.0
nimu_1021,ja,unknown,,3893,155,8,4.0
hosonoharuomi_info,unknown,male,,10465,1595,19,15.0
yoshikazuyamagata,en,male,,5780,225,0,4.0
writtenafterwards,en,unknown,,2164,46,0,2.0
nakajo_ayami,unknown,unknown,,430568,43278,0,10.0
amimono_horinouchi,da,unknown,,3580,354,6,10.0
pocasians_,en,unknown,,12576,3998,135,33.0
i_am_kiko_ok,xx-Qaai,unknown,,454,52,0,11.0
fishdoll,en,unknown,,2257,206,15,10.0
dice_kkkk,en,unknown,,3666,357,8,10.0
seiho777,en,unknown,,12816,891,8,7.000000000000001
chic0__________,en,male,,812,20,1,3.0
iamcardib,en,male,,20493320,696758,13273,3.0
dj_poipoi,en,unknown,,2263,194,9,9.0
iamnaomicampbell,en,male,,4946497,59924,747,1.0
_miugram_,ja,unknown,,58693,3037,11,5.0
mariasatelles,en,male,,10795,170,2,2.0
pompomshop_tokyo,en,unknown,,3449,125,0,4.0
qiezimabo,en,male,,2567,131,0,5.0
kom_i_jp,jp,unknown,,145089,6368,29,4.0
officekiko,en,unknown,,21533,2386,9,11.0
tsugumi_jp,ja,unknown,,8031,725,9,9.0
yuroom,da,female,,14068,451,0,3.0
watanabe_makiko,ja,unknown,,7758,444,5,6.0
osamuchan_suzuki,ja,male,,357525,13116,55,4.0
elliechimpom,en,female,,35648,861,7,2.0
ayumu_arisaka,en,male,,1017,116,1,12.0
ghettohollywood,en,male,,30065,549,3,2.0
iibbuukkii_,unknown,unknown,,7165,488,2,7.000000000000001
take_1001,en,male,,1606,89,1,6.0
kataokameriyasu,ja,unknown,,16408,323,2,2.0
harukadebeau,sv,male,,1173,86,2,8.0
alexwangny,en,male,,148976,8789,147,6.0
samuel_ellis,sn,male,,27280,511,8,2.0
christiancowan,unknown,male,,56113,2839,48,5.0
sola5532,el,male,,125160,4329,25,3.0
cochon_j,en,female,,28063,631,4,2.0
alexanderwangny,en,male,,4033927,16765,132,0.0
ez_ez_ez_,en,male,,5719,202,4,4.0
selenaforrest,en,female,,50499,2818,72,6.0
9m88,en,male,,50782,3394,10,7.000000000000001
fumikoimano,en,female,,3952,209,5,5.0
a0_zhang,unknown,unknown,,1362,73,0,5.0
akitakanakata,ja,male,,5815,323,6,6.0
hijiriendo,unknown,male,,1779,142,2,8.0
fukkura029,unknown,unknown,,609,60,1,10.0
akari_amami,ja,female,,15336,2156,11,14.000000000000002
jeffreybaum,en,male,,4509,121,4,3.0
shibuyachokkaku,unknown,unknown,,4588,253,1,6.0
exile_atsushi_official,en,male,,846653,103096,1259,12.0
djremus_choy,unknown,female,,14592,514,27,4.0
hitoshione,unknown,unknown,,6140,317,1,5.0
maruyacco,unknown,female,,859,70,1,8.0
tomohiro1820,en,male,,1581,115,1,7.000000000000001
1risy,en,unknown,,13191,623,6,5.0
trunk_seoul,en,unknown,,4661,108,1,2.0
yosuke_kubozuka,ja,unknown,,450520,22813,48,5.0
alexachung,unknown,unknown,,2983171,26838,117,1.0
ricochennn,en,male,,18909,512,2,3.0
momokoando,unknown,unknown,,19730,468,2,2.0
thisisneneee,da,unknown,,3997,319,7,8.0
aya_gloomy,en,female,,8979,620,3,7.000000000000001
lianaperlich,en,unknown,,6438,553,6,9.0
connanmockasin,unknown,unknown,,39477,4831,132,13.0
hiromioshima,en,male,,121084,2548,66,2.0
bobobobobob58,en,unknown,,17561,1228,3,7.000000000000001
isshehungry,en,unknown,,247597,28395,204,12.0
bjennymontero,cs,male,,57571,6765,115,12.0
bobswang,tn,male,,1559,117,7,8.0
terrybarberonbeauty,en,unknown,,74401,2944,29,4.0
theladymisskier,unknown,male,,11001,658,28,6.0
warniermathilde,en,male,,24475,833,7,3.0
chaelincl,unknown,male,,6875463,325636,4678,5.0
wizkhalifa,en,male,,19333837,373090,3406,2.0
directoryservice,en,unknown,,687,53,0,8.0
rina_matsunuma,unknown,unknown,,5943,202,6,3.0
damionreid,en,male,,4259,180,6,4.0
nathalie_ducheine,en,unknown,,36820,724,3,2.0
realnalyyn,en,unknown,,15256,526,2,3.0
patsutithon,en,unknown,,5290,194,4,4.0
maftsai,en,male,,5207,76,1,1.0
mistermaxlee,unknown,male,,2474,114,3,5.0
pixielepest,en,male,,1460,76,2,5.0
kitty_theo,sg,unknown,,6464,446,17,7.000000000000001
staceytan_,en,male,,17638,319,8,2.0
h2_ho,en,unknown,,767,86,4,12.0
missingtextures,en,female,,1489,124,4,9.0
an0mie,en,male,,13447,633,6,5.0
ageofaquaria,en,unknown,,369060,49984,443,14.000000000000002
ella.dror,unknown,female,,11285,89,3,1.0
cbroadus,en,male,,711869,12146,152,2.0
issalien,unknown,female,,39559,1559,21,4.0
liuwenlw,en,female,,3820897,69458,429,2.0
mehdilacoste_,en,male,,14498,1000,9,7.000000000000001
adwoaaboah,en,unknown,,556413,25324,204,5.0
slickwoods,en,unknown,,482424,40430,380,8.0
danilo,unknown,female,,92929,591,14,1.0
yehaleung,en,male,,43547,2211,23,5.0
creepyyeha,en,male,,433709,12391,52,3.0
misuzumiyake,en,male,,1787,175,2,10.0
evachen212,en,female,,866941,14895,124,2.0
graciehartzel,en,unknown,,82243,3624,34,4.0
kevin,en,unknown,,1527605,14363,821,1.0
pitersugar,unknown,unknown,,56179,4809,88,9.0
minikikiipad,unknown,female,,136308,24576,150,18.0
macdemarco,unknown,unknown,,1007659,144017,1377,14.000000000000002
tomojidai,en,unknown,,4626,164,3,4.0
marcsebastianf,en,male,,24661,1923,18,8.0
hot92.3,gd,male,,3328,235,5,7.000000000000001
masatomatsuura,da,male,,354395,17566,95,5.0
i_am_yunn,ja,unknown,,7955,354,0,4.0
yoshio_wakatsuki,rn,male,,3469,246,14,7.000000000000001
nobuhikokitamura,unknown,unknown,,2235,131,1,6.0
mdcdance,en,male,,1086944,14324,146,1.0
ikkei_takahashi,da,male,,5644,339,3,6.0
dior,en,male,,18920086,66138,247,0.0
chara_official_,unknown,unknown,,158714,8253,40,5.0
smilehalgryn,jp,unknown,,88300,6426,20,7.000000000000001
magnif_zinebocho,en,unknown,,18100,306,1,2.0
slurp.tv,en,unknown,,10371,307,12,3.0
getmezzy,en,unknown,,4168,259,7,6.0
unifnightmare,en,unknown,,23556,4112,237,18.0
sonoya,unknown,male,,48046,2246,52,5.0
brian__molloy,unknown,male,,5251,254,4,5.0
dorianelectra,en,female,,9691,621,13,7.000000000000001
samantha.ny,unknown,unknown,,3337,184,6,6.0
moodkillerdotnet,en,male,,3437,292,6,9.0
vaquera.nyc,pl,unknown,,33259,1042,9,3.0
jennyshimizu,en,male,,18562,482,15,3.0
michellevioly,en,female,,83189,1251,18,2.0
kevko,en,unknown,,2824,121,9,5.0
edwardvigiletti,unknown,unknown,,7422,572,18,8.0
dannip18,en,male,,148677,2979,73,2.0
yuriyan.retriever,en,unknown,,657236,46107,286,7.000000000000001
mdollas11,en,unknown,,882495,12814,233,1.0
peterphilipsmakeup,en,unknown,,265861,3348,50,1.0
saramary12,ja,unknown,,132004,1910,7,1.0
hisvintagetouch,en,female,,158842,2390,40,2.0
indianapiorek,en,unknown,,2618,187,3,7.000000000000001
richieshazam,en,male,,20608,1332,36,7.000000000000001
ryon01,gd,male,,17287,1804,26,11.0
trentongarrickvelarde,en,unknown,,1612,153,4,10.0
chinpira_yukiakai,ja,unknown,,144,20,1,15.0
airi_kamiya,en,unknown,,5857,400,3,7.000000000000001
jurin_asaya,nl,male,,25655,2236,27,9.0
nailsbymei,en,male,,85571,460,4,1.0
markpopovich,unknown,male,,717,110,4,16.0
shopunif,en,unknown,,133740,3042,5,2.0
domichan15,unknown,male,,3147,344,9,11.0
yukiiii88,ja,unknown,,2221,177,3,8.0
doghjk,da,male,,29600,228,1,1.0
virgomood,en,unknown,,255111,4786,15,2.0
artschool_london,en,male,,15621,714,9,5.0
dilarafindikoglu,af,unknown,,68087,4451,50,7.000000000000001
wingshya,unknown,female,,39473,387,5,1.0
____foxy____,ja,unknown,,65482,1896,7,3.0
estherlovesyou,es,unknown,,55399,2191,67,4.0
area,unknown,male,,29762,879,9,3.0
addydydy,en,unknown,,775,92,3,12.0
yurinagamine,ja,male,,4153,132,2,3.0
queenpinanina,ja,unknown,,1430,159,4,11.0
ando_nico,da,unknown,,23756,868,21,4.0
mug_gvgv,en,unknown,,18342,290,7,2.0
wukong_qq,en,unknown,,39426,2890,71,8.0
90ssupermodelsdaily,en,unknown,,307913,2936,11,1.0
lucygarland,en,male,,74097,7845,74,11.0
nicopanda,en,unknown,,99229,843,11,1.0
planetxnewyork,en,unknown,,10511,351,5,3.0
venusxgg,en,unknown,,57361,2586,45,5.0
daftpunk,unknown,male,,286160,11805,219,4.0
alex1012,gn,male,,4830,188,3,4.0
snoopdogg,en,unknown,,22340132,29499,584,0.0
uzumaki.gallery,en,unknown,,35720,2003,30,6.0
kkanance,en,male,,3108,177,3,6.0
chiseninja,en,male,,9379,378,10,4.0
ayayan0327,en,female,,9496,231,13,3.0
littlethunder,en,male,,393647,13952,77,4.0
misakinodon,ja,unknown,,285033,11711,10,4.0
canakoxx,en,male,,10367,313,3,3.0
gwns,unknown,unknown,,1504,58,0,4.0
warrenjfu,en,male,,16400,1066,36,7.000000000000001
2525nicole2,da,unknown,,1904300,109839,401,6.0
eddie_cook,en,male,,6257,337,5,5.0
wangwei_instagram,en,unknown,,22680,714,3,3.0
hanaquist,mfe,unknown,,25092,1957,25,8.0
harrycharlesworth,unknown,male,,24727,1094,11,4.0
themarcjacobs,unknown,male,,935397,13051,158,1.0
stevenkleinstudio,en,male,,561964,3826,36,1.0
itsjeremyscott,en,male,,1784747,10884,104,1.0
coconutsdisk_yoyogi,ja,unknown,,985,51,0,5.0
amandalepore,en,male,,289397,3180,26,1.0
giakuan,vi,male,,8527,249,4,3.0
quaydash,en,male,,5534,620,21,12.0
marin_neh,unknown,male,,1022,85,3,9.0
zattsuami,en,male,,766,91,10,13.0
mari.by.mno.5_co,ja,male,,5651,237,4,4.0
uhmmwhat,en,male,,4590,189,11,4.0
ericschlosberg,en,male,,10222,933,9,9.0
hinamizoguchi,da,female,,4293,327,6,8.0
chineseschooldropout,pl,unknown,,733,69,2,10.0
sean_charmatz,en,unknown,,886795,44915,143,5.0
mysteriousasianwoman,en,unknown,,5346,410,4,8.0
theweeknd,unknown,male,,16798086,525669,14944,3.0
craazy_lil_mama,en,male,,21745,734,15,3.0
official_lady_bunny,en,male,,78598,4299,116,6.0
mizuki_yamamoto_official,ja,male,,560254,35233,241,6.0
asapserz,unknown,unknown,,3908,128,2,3.0
naominailsnyc,en,male,,156173,779,17,1.0
diorinthe2000s,en,unknown,,26097,755,5,3.0
reedandrader,en,male,,5737,101,3,2.0
carlynecerfdedudzeele,en,unknown,,391065,2772,54,1.0
kevin_amato,en,male,,19619,795,21,4.0
ryburk,en,male,,144340,9688,112,7.000000000000001
ladyfag,en,unknown,,78167,1086,23,1.0
willam,en,unknown,,812838,16296,150,2.0
hannah_quinlivan,unknown,male,,597573,41057,478,7.000000000000001
elly,en,female,,132266,1817,32,1.0
rinchan521,ja,unknown,,1502497,13232,24,1.0
yostazyo,en,unknown,,70841,1434,27,2.0
shmaaab,en,unknown,,2560,222,6,9.0
mariahcarey,en,female,,6648723,158722,3816,2.0
rupaulsdragrace,en,male,,1797509,43455,529,2.0
dddddragon,en,male,,9851,570,2,6.0
juna_boomboom,ja,male,,2687,190,9,7.000000000000001
tomonyan55,en,male,,1629,97,5,6.0
kamimuu,ja,male,,3434,126,1,4.0
shinosuganuma,en,unknown,,5069,202,6,4.0
a.com524,unknown,male,,1136,110,5,10.0
goldfinger_staff,en,male,,1772,22,0,1.0
toddoldham,unknown,male,,34080,1447,34,4.0
c.v.c_8,en,unknown,,4762,433,2,9.0
hanzawatt,unknown,unknown,,813,82,0,10.0
panasonic_beauty,ja,unknown,,32828,996,1,3.0
voguehouseofnewyork,en,male,,71203,4318,281,6.0
crystalcl3arr,no,male,,39140,3996,26,10.0
langleee,unknown,female,,5299,65,1,1.0
jackydonegun,xh,male,,2683,184,13,7.000000000000001
arcangelsurfware,en,unknown,,4215,139,1,3.0
_nguan_,en,unknown,,129040,7090,20,6.0
rupaulofficial,rm,male,,1967402,62708,1283,3.0
everyoutfitonsatc,en,female,,451494,22631,637,5.0
shesvague,en,male,,214483,5587,130,3.0
sickocartel,en,male,,26044,535,2,2.0
missfamenyc,en,male,,935670,18010,192,2.0
karimbelghiran,unknown,unknown,,12766,360,12,3.0
badbadnotgood,unknown,unknown,,62721,3525,57,6.0
ozpurple,en,male,,113343,709,7,1.0
pearliaison,en,unknown,,954460,66123,701,7.000000000000001
michaelbaileygates,unknown,unknown,,47716,1767,27,4.0
thomaswhiteside,en,male,,31363,817,18,3.0
wastedyouthnlove,en,male,,16943,1466,8,9.0
wewearunif,en,male,,40329,1656,2,4.0
spicegirlsvideos,en,female,,71626,597,11,1.0
tokyostylez,en,male,,942537,24604,423,3.0
patmcgrathreal,gd,male,,1860568,13071,218,1.0
dj_muro,en,male,,43467,1135,6,3.0
thelinebyk,en,male,,57986,994,6,2.0
skatecrunchmag,en,male,,740168,8436,122,1.0
kunichi_nomura,en,male,,33047,1586,10,5.0
ggsanoo,ja,unknown,,3540,120,1,3.0
erikaiwamoto,en,unknown,,1900,103,3,6.0
soojmooj,en,male,,531274,8111,53,2.0
akoakotanaka,ja,male,,15506,328,2,2.0
kano_sisters007,en,male,,419837,21522,101,5.0
jmallinsonb,en,male,,9292,573,15,6.0
sutanamrull,en,male,,623818,31878,223,5.0
katya_zamo,unknown,unknown,,1233412,56214,880,5.0
toku__,unknown,unknown,,3272,216,4,7.000000000000001
wbasebicyclegarage,ja,male,,17995,333,0,2.0
kutful,unknown,unknown,,7364,52,1,1.0
sateenmusic,en,unknown,,74816,4974,81,7.000000000000001
jessicabh,en,male,,1929,164,8,9.0
bbyg6rl,unknown,female,,303322,24845,186,8.0
charlottedaywilson,en,female,,17895,2190,67,13.0
simmishoes,en,unknown,,919832,5928,57,1.0
yuyanara,ja,female,,178730,3723,22,2.0
sereeeenam,en,unknown,,147531,13039,35,9.0
h_amyjannet,da,male,,77634,5062,14,7.000000000000001
fentyxpuma,en,male,,844685,22421,216,3.0
catbooty0425,en,male,,20656,842,9,4.0
ray_leesie,en,male,,25019,907,27,4.0
rabylove_,en,unknown,,12967,385,8,3.0
annapesonen,no,male,,12719,314,6,3.0
soapmanwun,en,unknown,,638971,40757,1338,7.000000000000001
golfwang,xx-Qaai,male,,709497,56491,647,8.0
_kintaro_,en,unknown,,10141,381,9,4.0
kyliejenner,lv,unknown,,106447641,5062643,337654,5.0
bellahadid,en,unknown,,17337756,485437,1714,3.0
amandlastenberg,en,unknown,,1616269,101664,644,6.0
saintrecords,unknown,unknown,,3543115,47175,289,1.0
goldlink,en,unknown,,237041,20246,309,9.0
kaytranada,en,unknown,,339659,31591,585,9.0
thenatenightshow,unknown,male,,821,128,14,17.0
verbal_ambush,en,unknown,,452914,16690,100,4.0
yanismarshall,en,male,,644625,5290,33,1.0
mizutanichieko,ja,unknown,,166112,9893,48,6.0
miracle_hikaru_official,unknown,unknown,,12036,615,5,5.0
msl_kevin,unknown,unknown,,373,73,3,20.0
uchinoyohei,da,unknown,,9478,512,5,5.0
eeemipo,unknown,male,,402,70,3,18.0
satokayo1226,en,unknown,,82575,1862,19,2.0
thatgirlsussi,unknown,male,,81786,2576,18,3.0
taybarom,en,unknown,,6458,148,3,2.0
pimstarr,en,unknown,,19954,312,3,2.0
duangposh,en,unknown,,54848,107,1,0.0
gildaskitsune,en,male,,55853,871,10,2.0
earnchen,en,male,,17079,126,1,1.0
takanobuyasukawa,unknown,unknown,,324,35,2,11.0
trixiemattel,en,male,,1103879,80400,896,7.000000000000001
lilhoneyprincess,ja,unknown,,17202,613,9,4.0
swankfuck_inc,unknown,male,,205264,12879,2316,7.000000000000001
fingermonkey,fr,female,,464406,23493,4,5.0
a_li_godog,rw,male,,7990,542,9,7.000000000000001
brookecandy,en,female,,308524,12851,120,4.0
courtneyact,en,male,,1021841,31079,384,3.0
rarevintagejewellery,en,male,,1433,25,0,2.0
henson,en,male,,38479,3096,80,8.0
annyversary,no,male,,47389,1704,19,4.0
kimkardashian,da,female,,109667483,2084912,17797,2.0
elesq,en,male,,156810,9145,30,6.0
pooburr,en,male,,41634,896,3,2.0
jinsangbeats,pl,unknown,,9290,1132,42,13.0
babbym,unknown,male,,31158,1016,14,3.0
ornacia,en,unknown,,2900,397,28,15.0
lucialiustylist,wo,unknown,,38087,684,5,2.0
othongthai,en,male,,11122,175,6,2.0
stephenjonesmillinery,unknown,male,,53964,945,17,2.0
helenevasniermua,en,unknown,,1993,97,2,5.0
curlybaby_lilika,ja,male,,100304,2807,9,3.0
palomospain,unknown,male,,125727,7054,60,6.0
polaraki,en,unknown,,1364,151,1,11.0
thebiancadelrio,en,male,,1393192,28334,175,2.0
tetsukokuroyanagi,ja,unknown,,944507,55006,387,6.0
mini_han,en,unknown,,22535,446,6,2.0
anaismiysk,ja,unknown,,622,66,2,11.0
karenwsm,en,unknown,,11297,407,5,4.0
sifestyle_hk,en,unknown,,15158,226,4,2.0
michellevisage,en,male,,721785,16184,624,2.0
latriceroyale,en,male,,597168,24218,342,4.0
alyssaedwards_1,en,male,,979476,73231,1280,8.0
sharonneedlespgh,en,male,,857050,35698,422,4.0
kokokoharu,ja,unknown,,225475,8147,31,4.0
friendswithyou,en,unknown,,63539,1374,35,2.0
angelababyct,unknown,unknown,,6350858,156987,1166,2.0
enminmin,en,unknown,,7252,156,4,2.0
mimiye0914,unknown,unknown,,2930,133,3,5.0
yusukesaeki,en,unknown,,12585,321,3,3.0
julesjulianmei,da,unknown,,453,49,3,11.0
choiyikwan,da,unknown,,1083,32,1,3.0
theonlyalaska5000,unknown,unknown,,1332454,53584,412,4.0
innitbabes,xx-Qaai,unknown,,2156,138,4,7.000000000000001
mimi.wade,da,unknown,,24753,903,12,4.0
ryanlostudio,ja,unknown,,15327,260,1,2.0
vannakitty,en,unknown,,8980,267,4,3.0
mingblingbling,en,unknown,,26091,1019,7,4.0
palefoxsahara,en,unknown,,31212,1936,20,6.0
chenman,en,unknown,,333067,1538,27,0.0
larryclarkfilms,en,unknown,,44199,1028,0,2.0
lou_dallas,en,unknown,,5174,242,2,5.0
karifaux,unknown,unknown,,31123,2117,51,7.000000000000001
kinoshitamanami,ja,unknown,,8609,417,6,5.0
sitabellan,en,unknown,,422729,11561,101,3.0
catserval,ja,unknown,,115773,1688,72,2.0
saracummings,en,unknown,,52014,2356,44,5.0
megumu_offi,da,unknown,,91032,2596,13,3.0
juliasumire,en,unknown,,34187,917,5,3.0
yukibeniya,ja,unknown,,8749,691,10,8.0
___cutters___,unknown,unknown,,940,69,1,7.000000000000001
peli4649,da,unknown,,14354,412,5,3.0
yucongyucong,en,unknown,,2381,33,1,1.0
hi_summer_,en,unknown,,14493,112,2,1.0
bebekimxx,unknown,unknown,,4621,74,2,2.0
phonyppl,en,unknown,,23088,844,16,4.0
maffyuu,en,unknown,,3396,242,14,8.0
hiroshipenguinjoe,unknown,unknown,,5356,239,2,4.0
naomismalls,en,unknown,,756619,51042,336,7.000000000000001
violetchachki,unknown,unknown,,1150663,59138,530,5.0
tom_wesselmann,en,unknown,,22753,947,9,4.0
ryanmichaelford,unknown,unknown,,3947,216,8,6.0
editorialmag,no,unknown,,47074,927,11,2.0
othergirl_julia,en,unknown,,33761,986,13,3.0
gabbriette,en,unknown,,40912,3599,30,9.0
madamekush,da,unknown,,16073,1186,8,7.000000000000001
rifflevin,unknown,unknown,,7111,312,12,5.0
lilnicegirl,en,unknown,,16310,804,12,5.0
kimchi_chic,en,unknown,,1281888,84334,488,7.000000000000001
richardchai,unknown,unknown,,28928,342,3,1.0
_m_a_r_c_o,en,unknown,,6566,287,3,4.0
smoothiethecat,en,unknown,,1377416,75029,612,5.0
nasirmazhar,unknown,unknown,,52663,948,13,2.0
whothefuckiseric,unknown,unknown,,3495,162,9,5.0
juan9ann,unknown,unknown,,44492,3668,24,8.0
claire_barrow,chr,unknown,,33706,647,7,2.0
poydtreechada,en,unknown,,2561986,23583,90,1.0
amykuroda,unknown,unknown,,18324,1431,43,8.0
sydn4sty,pl,unknown,,108276,6129,88,6.0
pierre_pierreetgilles,unknown,unknown,,44527,1113,10,3.0
breezeana,unknown,unknown,,38748,2367,32,6.0
chiharuokunugi,en,unknown,,34110,1168,9,3.0
bun5o,ja,unknown,,11980,529,2,4.0
slayrizz,en,unknown,,15045,505,20,3.0
rinao127,en,unknown,,43029,2107,19,5.0
i_am_037,unknown,unknown,,3187,77,1,2.0
yasmineeslami,en,unknown,,23238,392,5,2.0
kazumi_asamura_hayashi,en,unknown,,3619,135,2,4.0
mattirwinlondon,en,unknown,,81919,2846,1109,5.0
kaze_give_me,unknown,unknown,,1760,100,0,6.0
tokyodays_luka,en,unknown,,155406,4649,25,3.0
kurumixo_,da,unknown,,42734,1311,4,3.0
jokemichaels,en,unknown,,34190,2942,27,9.0
marymejimmypaul,en,unknown,,23336,362,6,2.0
meirin_zzz,ja,unknown,,22915,1375,6,6.0
kim1113,en,unknown,,13101,119,3,1.0
erindgarcia,unknown,unknown,,13591,432,3,3.0
pucapucaofficial,unknown,unknown,,11634,448,7,4.0
jo_kami,unknown,unknown,,1066,78,8,8.0
alphachanneling,en,unknown,,606938,22697,184,4.0
aurel_sex,unknown,unknown,,24054,546,10,2.0
steve.lacy,de,unknown,,217410,41175,685,19.0
iiindiiia,en,unknown,,67789,2126,30,3.0
taticompton,en,unknown,,235328,10031,68,4.0
seanfromtexas,en,unknown,,417838,8525,36,2.0
liveglenwood,unknown,unknown,,1723508,48981,113,3.0
watanabenaomi703,da,unknown,,7899709,432836,2056,6.0
parrisgoebel,en,unknown,,672290,29529,220,4.0
jujujuxiaowen,en,unknown,,497286,7268,59,1.0
barbienox,en,unknown,,457740,15186,78,3.0
ali_michael,en,unknown,,253152,7831,45,3.0
tinashenow,en,unknown,,2217172,57120,768,3.0
ai15_kiko,en,unknown,,37752,514,2,1.0
mt.amr,en,unknown,,2560,75,1,3.0
uakimoto,en,unknown,,33187,751,6,2.0
richardburbridge,unknown,unknown,,31754,823,13,3.0
team.mizuhara,en,unknown,,25444,714,2,3.0
haleywollens,en,unknown,,19865,545,7,3.0
aiala,en,unknown,,2967,146,5,5.0
sangwo0,sq,unknown,,84010,3628,28,4.0
luucheng,en,unknown,,19512,481,6,2.0
tavitulle,en,unknown,,556671,5686,54,1.0
petrafcollins,en,unknown,,733954,20420,120,3.0
arvidabystrom,en,unknown,,245721,7920,40,3.0
rinasonline,en,unknown,,60074,3667,47,6.0
gabriel_held_vintage,en,unknown,,82592,1486,20,2.0
williamstrobeck,unknown,unknown,,190880,11173,75,6.0
daniel_s_makeup,sv,unknown,,10074,242,4,2.0
melzy917,unknown,unknown,,143212,2696,35,2.0
michel_e_b,en,unknown,,152455,10561,64,7.000000000000001
funnyfailvideos,unknown,unknown,,4390883,61182,3092,1.0
gilles_pierreetgilles,unknown,unknown,,47022,1495,13,3.0
erykahbadu,en,unknown,,2826814,69559,1634,3.0
kelelam,en,unknown,,158158,9132,111,6.0
darkwaveduchess,bi,unknown,,119223,8020,112,7.000000000000001
fuckjerry,en,unknown,,13456774,472705,17186,4.0
fashion_east,en,unknown,,83635,739,16,1.0
ashleywilliamslondon,unknown,unknown,,67251,1078,11,2.0
isamayaffrench,en,unknown,,136123,2958,37,2.0
sandycandykim,unknown,unknown,,53601,1381,14,3.0
joejonas,en,unknown,,6845101,114324,455,2.0
leo_berne,en,unknown,,34369,2984,25,9.0
louisrault,en,unknown,,14323,909,7,6.0
hama_okamoto,en,unknown,,196267,6828,13,3.0
okamotoreiji,unknown,unknown,,51553,1784,16,3.0
nattofranco,en,unknown,,9049,163,1,2.0
courreges,unknown,unknown,,67017,948,11,1.0
ashish,en,unknown,,141711,2126,28,2.0
adamselman,unknown,unknown,,141713,2335,29,2.0
stussy,en,unknown,,3041153,42681,152,1.0
ryanmcginleystudios,unknown,unknown,,233153,4025,23,2.0
linascheynius,unknown,unknown,,59709,2541,47,4.0
olympialetan,en,unknown,,120860,657,5,1.0
supremenewyork,pl,unknown,,9883556,225981,1200,2.0
rickysaiz,ms,unknown,,17544,1099,22,6.0
denimtears,en,unknown,,61478,3520,74,6.0
chloessevigny,unknown,unknown,,658563,16352,192,3.0
earlboykins,nl,unknown,,216934,5492,113,3.0
stephanesednaoui,en,unknown,,8149,276,13,4.0
harleyweir,en,unknown,,250168,4961,29,2.0
robbiespencer,en,unknown,,76421,2397,20,3.0
ben_toms,unknown,unknown,,34775,1932,32,6.0
kilokish,en,unknown,,66249,2593,30,4.0
masayakitsune,en,unknown,,46317,830,4,2.0
c_smith0213,en,unknown,,7490,588,24,8.0
skyferreira,en,unknown,,693720,21979,204,3.0
kaliuchis,en,unknown,,780085,117853,2145,15.0
lilyrose_depp,en,unknown,,3372459,137673,562,4.0
nick_knight,unknown,unknown,,488985,2253,28,0.0
kojimaruyama,to,unknown,,3456,58,1,2.0
annatrevelyan,en,unknown,,38130,861,25,2.0
sachikoomori,da,unknown,,22438,361,2,2.0
katsuyakamo,en,unknown,,17098,631,3,4.0
lol_vines,en,unknown,,4273632,45638,3674,1.0
fun_bestvids,en,unknown,,6709958,52100,2922,1.0
watts.on,en,unknown,,947780,18998,119,2.0
love.watts,en,unknown,,1647089,20233,79,1.0
cornilikeit,unknown,unknown,,29163,487,11,2.0
willowsmith,en,unknown,,2846034,54263,269,2.0
idea.ltd,en,unknown,,343768,1335,10,0.0
eichimatsunaga,en,unknown,,63769,701,6,1.0
shun_watanabe,unknown,unknown,,33168,692,9,2.0
nicolaformichetti,unknown,unknown,,245611,2915,39,1.0
rolaofficial,unknown,unknown,,4784950,136514,0,3.0
unif,en,unknown,,1204222,16851,37,1.0
monimogi,en,unknown,,41111,1745,9,4.0
feliciathegoat,en,unknown,,4780762,483433,8370,10.0
yoon_ambush,en,unknown,,216780,5337,43,2.0
theinternet,en,unknown,,161853,8837,127,6.0
martianstudios,en,unknown,,36275,2430,66,7.000000000000001
syd,en,unknown,,401150,38766,850,10.0
badgalriri,en,unknown,,61252908,2089236,22962,3.0
towatei,en,unknown,,24590,498,0,2.0
ashley_yuka,en,unknown,,388136,6545,16,2.0
grey_waters,unknown,unknown,,186281,4877,106,3.0
rinchan521,ja,unknown,,1502495,13263,24,1.0
katemossagency,unknown,unknown,,804967,8800,64,1.0
greenfingersjp,ja,unknown,,9522,197,0,2.0
g_karina_official,ja,unknown,,93893,8569,35,9.0
instagramjapan,ja,unknown,,3150050,38455,682,1.0
thelmaaoyama,unknown,unknown,,935107,40633,235,4.0
fujimooongram,ja,unknown,,396786,39982,250,10.0
photoaroundapp,ja,unknown,,328055,1987,12,1.0
tokura_freestyle,en,unknown,,51753,2765,31,5.0
pinky___parl___,en,unknown,,6665,749,39,12.0
sou_ham,ja,unknown,,35030,1518,29,4.0
ojarinn,ja,unknown,,84480,6267,56,7.000000000000001
inamorim,ja,unknown,,32657,1729,32,5.0
