Username,Language Spoken,Gender,Location,Followers,Average likes,Average Comments,Engagement
chipichan.1215,ja,unknown,,1274969,57733,136,5.0
twoobs,en,male,,25672,425,8,2.0
fallin.love.barbie,ja,unknown,,185294,12469,90,7.000000000000001
champagnepapi,unknown,unknown,,40963650,1045922,7375,3.0
bite_me_3,ja,unknown,,58003,7901,321,14.000000000000002
justinbieber,en,female,,98346331,3816568,79602,4.0
jade_weber_official,en,male,,472235,16240,171,3.0
natsuki_shigeta,ja,unknown,,4013,125,2,3.0
beautybakeriemakeup,en,male,,455754,2825,26,1.0
etienneortega,en,male,,484889,4897,83,1.0
viva_glam_kay,en,male,,1409214,55167,597,4.0
iskra,en,male,,4070039,202715,1613,5.0
liverichmedia,en,unknown,,1153236,16633,314,1.0
makohairmakenyc,unknown,male,,600,56,1,10.0
i_am_kiko,da,unknown,,4949968,63779,227,1.0
inspirationtattoo,pt,male,,1635825,9104,67,1.0
pecotecooo,en,unknown,,1206839,35797,133,3.0
leclaireur,en,unknown,,52666,715,2,1.0
poppylissiman,en,unknown,,139308,3029,19,2.0
objectify_nyc,en,unknown,,11983,284,2,2.0
nbcsnl,en,male,,2178568,28775,374,1.0
loganpaul,en,male,,16096423,1474578,117749,10.0
seiko_1204,ja,unknown,,283203,21507,178,8.0
shamemagazine,en,male,,446600,6434,55,1.0
laurenwinzer,en,male,,241607,4208,58,2.0
yanagidamasami,unknown,unknown,,63938,1872,2,3.0
jenatkinhair,en,female,,2313968,9669,68,0.0
mizutanichieko,ja,unknown,,166015,9893,48,6.0
destinosesonhos,en,unknown,,534731,3570,68,1.0
mollymarlette,en,female,,8090,431,9,5.0
miyoshi.aa,ja,unknown,,725038,22217,259,3.0
oreirie0408,ja,unknown,,32607,751,5,2.0
703kyan,unknown,unknown,,480,28,3,6.0
iikonn,en,male,,291728,527,4,0.0
liveglenwood,unknown,male,,1723163,45967,106,3.0
djryohey,unknown,male,,1140,117,3,11.0
mycustompuppet,en,unknown,,34878,288,20,1.0
melissasassinemakeup,en,female,,478370,3344,77,1.0
katayama.noritsugu,ja,unknown,,166,17,2,11.0
egoshooter,en,male,,88994,2870,19,3.0
maxisms,en,male,,882482,28444,217,3.0
osamuchan_suzuki,ja,male,,357501,13971,63,4.0
babymaryfaline,en,unknown,,25537,259,5,1.0
melaniesfans,en,male,,63282,1511,23,2.0
taka.tkg,ja,unknown,,533685,33791,114,6.0
torivomit,da,unknown,,13140,197,1,2.0
attic_by_schritt,ja,male,,766,128,1,17.0
aiku_0817__,en,unknown,,105628,1771,11,2.0
rihannabeauties,en,female,,37771,482,6,1.0
alexstrangler,en,male,,210989,5371,125,3.0
pascalmariedesmarais,en,male,,63204,708,6,1.0
avi_kaplan,unknown,unknown,,613021,54413,564,9.0
scotthoying,en,female,,1105338,46352,470,4.0
mitchgrassi,en,male,,944376,56371,660,6.0
kolusola,en,unknown,,551463,26897,207,5.0
kirstin,en,unknown,,792888,32833,196,4.0
nikuguso_taro,ja,unknown,,657450,35217,112,5.0
scalpd_eye,ja,unknown,,1420,57,0,4.0
glitterbubblegum_,en,unknown,,46847,1123,9,2.0
theweeknd,unknown,male,,16761509,471696,12983,3.0
bigbaldhead,unknown,unknown,,5956000,191295,2205,3.0
